feature,importance_gain,importance_split
mcuenta_corriente_lag_1_1,1031.0467808246613,49
TC_Total_fechaalta_lag_1_1,1017.2796854972839,46
uso_credito_ratio_lag_1,1015.9580492973328,55
slope_Visa_status_3_window,1014.6380014419556,32
ctrx_quarter_delta_1_1,1013.8231389522552,72
cproductos_delta_2,1013.3019273281097,44
rentabilidad_vs_margen_delta_1,1004.7001276016235,90
slope_ctransferencias_recibidas_3_window,997.5220911502838,78
TC_Total_status,989.7812881469727,17
slope_flujo_netotransf_3_window,980.9253597259521,71
slope_mpagomiscuentas_3_window,970.1708316802979,46
mactivos_margen_delta_2,959.6296949386597,65
slope_ctransferencias_emitidas_3_window,957.9987652301788,70
slope_usa_app_o_homebanking_3_window,955.5811738967896,49
mcuenta_corriente_lag_2,954.0794653892517,63
slope_uso_tarjeta_ratio_2_window,948.6704273223877,59
slope_mtransferencias_recibidas_2_window,945.7551741600037,57
mcuenta_corriente_delta_1,943.9661099910736,77
mautoservicio,943.2141981124878,56
slope_Master_fechaalta_2_window,942.9269361495972,65
slope_mpayroll_2_window,933.8561754226685,15
slope_ccajas_otras_3_window,932.4831862449646,58
slope_mttarjeta_visa_debitos_automaticos_2_window,928.8139200210571,64
mactivos_margen_delta_1,926.2594661712646,73
Master_msaldopesos,924.81409907341,55
mprestamos_personales_delta_1_1,922.8188557624817,48
mrentabilidad_lag_1,921.8536720275879,76
slope_saldo_total_pesos_3_window,921.55810546875,49
slope_mcomisiones_otras_2_window,920.6967310905457,67
slope_Visa_Fvencimiento_2_window,920.6916046142578,65
Visa_Fvencimiento_lag_1_1,915.5847218036652,82
rentabilidad_vs_margen_lag_1_1,911.6958680152893,74
slope_mcomisiones_3_window,903.2359652519226,72
saldo_vs_movimientos_delta_1_1,902.2387166023254,66
slope_ccuenta_debitos_automaticos_3_window,898.3414158821106,41
ratio_productos_uso_delta_2,896.5868253707886,79
uso_digital_ratio_lag_1,895.7608590126038,69
slope_ccomisiones_otras_3_window,887.1222257614136,65
mtransferencias_emitidas,884.4831609725952,64
mactivos_margen_lag_1_1,878.3358058929443,49
slope_mcuenta_debitos_automaticos_3_window,878.325412273407,51
mcuentas_saldo_lag_1_1,873.8908166885376,55
sin_sueldo_mes,873.3056831359863,2
saldo_vs_movimientos_lag_1_1,871.2649776935577,64
uso_digital_ratio_delta_1,870.287682056427,64
slope_rentabilidad_vs_margen_3_window,868.4219045639038,68
cproductos_lag_1,865.5178844928741,36
comisiones_ratio_lag_1,857.437334060669,58
mrentabilidad_delta_2,856.1889960765839,83
slope_ctarjeta_debito_transacciones_3_window,855.9895739555359,53
TC_Total_mpagominimo_lag_1,840.8936953544617,42
mprestamos_personales_delta_2,840.3038222789764,59
ctarjeta_master,839.3189735412598,7
mcomisiones_lag_1,837.0169997215271,62
slope_TC_Total_fechaalta_3_window,834.6637244224548,56
slope_chomebanking_transacciones_3_window,833.7646379470825,63
mcuenta_corriente_delta_1_1,831.5454497337341,59
saldo_total_lag_1_1,831.3232049942017,49
slope_ratio_productos_uso_2_window,827.8839426040649,40
rentabilidad_media_mensual_delta_2,824.9462442398071,55
mcuenta_debitos_automaticos_delta_2,824.0625419616699,60
slope_Master_Fvencimiento_3_window,821.4827961921692,67
mcuentas_saldo_lag_1,817.5629425048828,56
saldo_total_pesos_lag_2,810.8091356754303,71
slope_cmobile_app_trx_3_window,804.7404189109802,53
uso_digital_ratio_lag_1_1,804.1805901527405,62
margen_por_producto_lag_1,804.1793870925903,45
ratio_productos_uso_lag_1,800.1576771736145,61
saldo_total_pesos_delta_1,799.8567004203796,48
slope_comisiones_ratio_3_window,794.3536100387573,69
slope_cliente_antiguedad_2_window,794.1974449157715,64
slope_thomebanking_2_window,793.081310749054,23
TC_Total_mpagospesos,793.0553526878357,36
slope_Visa_mlimitecompra_3_window,786.736180305481,59
Master_fechaalta_lag_1_1,784.8100352287292,58
slope_ccajas_consultas_2_window,781.3397922515869,37
slope_margen_total_2_window,779.980108499527,59
slope_Visa_mpagospesos_2_window,779.5133514404297,59
slope_Master_mfinanciacion_limite_2_window,777.1679463386536,57
slope_saldo_total_dolares_3_window,777.02791929245,63
mprestamos_personales_lag_1_1,775.8755202293396,33
slope_cproductos_2_window,775.0076699256897,63
slope_extracciones_ratio_3_window,770.8463099002838,75
saldo_total_delta_2,766.8331003189087,55
slope_Visa_mpagominimo_2_window,758.5751371383667,39
ctrx_quarter_lag_2,756.5918848514557,52
rentabilidad_vs_margen_delta_1_1,753.5255761146545,60
Visa_mconsumospesos_delta_1,752.8941612243652,59
slope_ctarjeta_visa_debitos_automaticos_3_window,752.062513589859,56
mcaja_ahorro_dolares,751.9670419692993,57
uso_tarjeta_ratio_delta_1,749.7681021690369,75
slope_Visa_mfinanciacion_limite_2_window,749.15442943573,49
Master_mlimitecompra_lag_1,745.8468952178955,40
slope_mrentabilidad_3_window,743.6548295021057,53
ctrx_30d_delta_1,743.4402928352356,55
slope_ingresos_vs_saldo_3_window,737.6369037628174,49
saldo_vs_movimientos_delta_2,734.8269422054291,68
