feature,importance_gain,importance_split
TC_Total_fultimo_cierre,1173.240092754364,114
ctarjeta_master_transacciones,1170.937258720398,59
slope_mcaja_ahorro_dolares_3_window,1167.693996667862,121
slope_mcuenta_debitos_automaticos_3_window,1167.585692167282,97
Master_madelantopesos,1158.3685677051544,85
Visa_cconsumos_delta_2,1158.0391187667847,118
slope_mmargen_total_3_window,1148.7217333316803,97
TC_Total_cconsumos_delta_3,1147.6660642623901,89
slope_Master_mconsumospesos_6_window,1142.3346753120422,99
Master_Fvencimiento_delta_mean_8,1138.5345647335052,91
ccallcenter_transacciones_delta_mean_4,1136.193737745285,92
slope_mcomisiones_otras_3_window,1129.5932507514954,104
slope_minversion_ratio_6_window,1126.7076799869537,96
tmora_total_delta_mean_8,1125.1217563152313,53
tmobile_app_delta_mean_8,1123.8611290454865,98
ctarjeta_debito_transacciones,1123.2325270175934,78
ctarjeta_master_transacciones_delta_mean_8,1121.3224303722382,88
slope_TC_Total_mpagado_6_window,1117.995676279068,109
slope_Visa_mpagado_6_window,1106.7799570560455,117
slope_Visa_mconsumototal_6_window,1103.3233199119568,111
slope_Visa_mlimitecompra_3_window,1098.158667087555,114
cproductos_delta_3,1094.111343383789,48
cactividad_total_delta_2,1088.0065660476685,120
catm_trx_other_delta_mean_8,1080.8116314411163,104
slope_mmargen_por_producto_3_window,1080.6902842521667,108
slope_Master_mconsumototal_6_window,1071.9636509418488,95
slope_mpayroll2_3_window,1068.65296792984,78
slope_mpasivos_margen_6_window,1068.4950335025787,100
TC_Total_cconsumos,1065.925873041153,95
cuso_tarjeta_ratio_delta_mean_4,1064.062391281128,119
tusa_app_o_homebanking_delta_mean_8,1063.7909836769104,116
Visa_status_delta_mean_8,1062.9435639381409,28
slope_Master_msaldototal_3_window,1062.1941866874695,77
cproductos_uso_ratio_delta_mean_4,1058.1964027881622,98
ccaja_ahorro_delta_3,1058.1533789634705,16
slope_mcuenta_corriente_adicional_3_window,1054.3193755149841,74
ccallcenter_transacciones_delta_3,1053.6025626659393,73
cuso_tarjeta_ratio_delta_2,1050.3513479232788,118
ctarjeta_visa_descuentos_delta_mean_8,1043.3359022140503,88
minversion_ratio,1039.2789566516876,102
slope_Master_mpagominimo_6_window,1038.1996083259583,98
ctarjeta_debito_transacciones_delta_mean_4,1037.382126569748,100
slope_matm_other_6_window,1032.8943302631378,107
ccuenta_debitos_automaticos_delta_mean_4,1032.450965642929,67
slope_Visa_Finiciomora_6_window,1032.0342557430267,67
slope_msaldo_total_3_window,1031.3086686134338,90
mextraccion_autoservicio,1026.115897655487,70
Visa_cconsumos_delta_3,1024.7515985965729,100
slope_mtarjeta_visa_consumo_3_window,1018.5646402835846,81
slope_Master_msaldopesos_6_window,1015.9380209445953,115
ctarjeta_visa_debitos_automaticos_delta_3,1015.1800241470337,55
slope_muso_credito_ratio_3_window,1013.3442890644073,76
slope_matm_3_window,1011.35946393013,92
slope_Visa_msaldodolares_6_window,1010.2507333755493,97
slope_mcajeros_propios_descuentos_6_window,1008.3891115188599,82
slope_Visa_mfinanciacion_limite_3_window,1001.7730360031128,93
