feature,importance_gain,importance_split
tusa_app_o_homebanking_delta_mean_8,1559.08562874794,152
ctarjeta_visa_transacciones_delta_2,1547.0220522880554,117
talta_mora,1515.6829900741577,11
slope_Visa_mpagospesos_6_window,1505.9925894737244,129
cuso_tarjeta_ratio_delta_2,1502.2804889678955,172
slope_Visa_mconsumospesos_6_window,1501.1167776584625,156
ctarjeta_master_transacciones,1498.7172441482544,61
Master_msaldopesos,1497.8250925540924,134
mplazo_fijo_dolares,1488.411514043808,71
ccallcenter_transacciones_delta_3,1459.2145504951477,83
slope_mautoservicio_6_window,1455.1910920143127,150
chomebanking_transacciones_delta_3,1450.441279888153,149
Visa_mpagado,1447.9952774047852,56
ctransferencias_emitidas_delta_mean_4,1446.068585395813,128
slope_matm_6_window,1445.9284887313843,155
slope_TC_Total_mfinanciacion_limite_6_window,1423.0202090740204,138
slope_TC_Total_mpagado_6_window,1414.8205320835114,134
slope_Master_mpagominimo_6_window,1409.8890328407288,135
ctarjeta_debito_transacciones_delta_mean_4,1400.570517539978,129
slope_TC_Total_mlimitecompra_6_window,1399.6476664543152,139
slope_mmargen_por_cuenta_ratio_6_window,1398.9737298488617,134
thomebanking,1388.7100715637207,60
slope_TC_Total_mconsumosdolares_6_window,1377.6508090496063,140
ctarjeta_debito_transacciones_delta_2,1372.507176399231,130
Master_fultimo_cierre_delta_mean_8,1364.6430995464325,121
cproductos_delta_2,1356.457600593567,48
cmobile_app_trx_delta_mean_8,1355.4185178279877,146
Master_mconsumospesos,1347.1289398670197,116
Master_Fvencimiento_delta_mean_8,1346.2750115394592,136
slope_matm_other_6_window,1345.7621567249298,136
TC_Total_fultimo_cierre,1343.6619415283203,141
Master_fechaalta_delta_mean_8,1343.0703876018524,93
slope_mtarjeta_visa_consumo_6_window,1341.8849668502808,127
Visa_Finiciomora_delta_mean_8,1336.5500226020813,63
Visa_fultimo_cierre_delta_2,1335.5188248157501,42
Master_status_delta_3,1333.5548205375671,7
Visa_mconsumosdolares,1326.0951011180878,140
mpayroll2,1317.6336250305176,84
minversion_ratio,1302.781744003296,125
catm_trx_delta_mean_8,1293.3045465946198,140
slope_minversion_ratio_6_window,1292.5595450401306,127
ccanales_activos_delta_mean_4,1291.0083031654358,105
slope_mcuenta_corriente_adicional_6_window,1288.7539732456207,87
tcallcenter_delta_mean_4,1283.3955783843994,52
cactividad_total_delta_mean_4,1280.6209609508514,130
slope_Visa_msaldototal_6_window,1280.0059819221497,118
cextraccion_autoservicio,1272.0485348701477,76
Visa_cconsumos_delta_2,1265.8491570949554,116
cpagomiscuentas,1265.321720123291,73
cuso_digital_ratio_delta_2,1259.0456223487854,150
cactividad_total_delta_3,1252.8468222618103,132
ccallcenter_transacciones_delta_mean_4,1241.5069539546967,103
TC_Total_cconsumos_delta_2,1240.3434627056122,104
slope_TC_Total_mpagospesos_6_window,1231.8342080116272,104
Visa_Finiciomora_delta_2,1225.1794600486755,18
slope_Master_mconsumototal_6_window,1221.329002380371,98
ccajas_otras_delta_mean_8,1217.7704873085022,105
Visa_cconsumos_delta_3,1217.5777366161346,122
ccuenta_debitos_automaticos,1217.4973793029785,83
cproductos_uso_ratio_delta_mean_4,1215.6089310646057,133
ccuenta_debitos_automaticos_delta_mean_4,1201.9170324802399,81
cpayroll_trx_delta_mean_4,1196.1663353443146,81
cprestamos_personales_delta_3,1194.222751379013,38
slope_mlimite_tarjetas_total_6_window,1186.5797724723816,101
cextraccion_autoservicio_delta_mean_8,1181.2172486782074,121
slope_mforex_sell_6_window,1180.3227503299713,114
mextraccion_autoservicio,1178.4487957954407,88
slope_Visa_mconsumototal_6_window,1178.2708983421326,127
cactividad_total_delta_2,1172.907464981079,127
ctarjeta_visa_debitos_automaticos,1168.76242685318,126
tmobile_app_delta_mean_8,1163.6052539348602,110
ctarjeta_debito,1150.2972404956818,121
Master_mconsumototal,1149.1248631477356,105
Master_cconsumos_delta_mean_8,1145.615732908249,101
mcheques_emitidos_rechazados,1142.9056963920593,45
TC_Total_cconsumos,1139.5627598762512,111
slope_TC_Total_mconsumototal_6_window,1136.144202709198,100
ctarjeta_visa_descuentos_delta_mean_8,1129.7999753952026,97
ccallcenter_transacciones,1126.499588727951,65
Visa_mconsumototal,1125.4376187324524,112
slope_Master_mpagado_6_window,1112.4421033859253,98
Master_mpagado,1096.715217590332,61
ccajas_extracciones_delta_mean_8,1095.221219778061,121
TC_Total_cconsumos_delta_mean_4,1066.3334097862244,107
Master_mpagominimo,1063.7380118370056,101
ccajas_consultas_delta_mean_4,1042.6394238471985,89
ctarjeta_master_transacciones_delta_mean_8,1027.0809018611908,94
ctransferencias_recibidas_delta_mean_4,1026.758440732956,102
tcuentas,1024.2246253490448,46
slope_Visa_madelantopesos_6_window,1020.1450335979462,77
ccaja_ahorro_delta_2,1012.3503875732422,16
ctarjeta_debito_transacciones_delta_3,1011.7460417747498,108
TC_Total_mconsumosdolares,1006.2371988296509,93
slope_Visa_msaldodolares_6_window,995.7954819202423,106
slope_Master_msaldopesos_6_window,983.4951157569885,95
slope_Visa_mpagosdolares_6_window,964.1316032409668,100
slope_Master_mpagospesos_6_window,954.2429089546204,96
ctarjeta_visa_debitos_automaticos_delta_3,954.062472820282,63
ctransferencias_emitidas,953.2840175628662,74
catm_trx_other_delta_mean_8,940.9306056499481,108
ctransferencias_emitidas_delta_3,936.7341809272766,87
tmora_total_delta_mean_8,935.4973196983337,55
cplazo_fijo_delta_mean_8,934.2122824192047,73
slope_TC_Total_msaldototal_6_window,925.0208220481873,80
ccomisiones_mantenimiento_delta_2,923.1566593647003,42
cmobile_app_trx,922.0755202770233,99
cmobile_app_trx_delta_3,915.995486497879,91
cforex_sell_delta_mean_8,909.2390971183777,94
ccanales_activos_delta_2,906.7068734169006,64
slope_mdeuda_tarjetas_total_6_window,906.1908876895905,81
cextraccion_autoservicio_delta_mean_4,896.5512776374817,98
Master_cconsumos_delta_mean_4,892.6214694976807,90
cdiversificacion_financiera,886.1252319812775,38
slope_TC_Total_msaldopesos_6_window,853.1475138664246,75
ccajas_transacciones_delta_mean_4,852.7684998512268,68
ctarjeta_master,849.9862203598022,8
ctransferencias_recibidas_delta_2,840.1486887931824,86
slope_mtarjeta_visa_descuentos_6_window,831.2149932384491,90
thomebanking_delta_mean_4,816.4364717006683,60
Master_cconsumos_delta_3,807.9593331813812,80
ctarjeta_visa_debitos_automaticos_delta_2,799.9681572914124,44
cpagomiscuentas_delta_mean_4,787.8281307220459,75
ctransferencias_recibidas,785.8136281967163,66
slope_TC_Total_msaldodolares_6_window,785.6520805358887,81
cforex_delta_mean_8,774.6901681423187,71
ccajeros_propios_descuentos_delta_mean_8,769.5335421562195,56
cextraccion_autoservicio_delta_3,763.036673784256,90
slope_Master_Finiciomora_6_window,762.8502912521362,46
Master_status_delta_2,756.0903582572937,10
catm_trx_delta_mean_4,753.7931568622589,74
